,FR,MIR,RFE
RF,0.0033464321984705845,0.004378337556484133,0.0020051558128138577
SVR,0.03685069906104381,0.04646553469774837,0.026586707702449645
Lin,0.040758036185241646,0.05304071809227701,0.0295521398554854
Lass,0.04080684717224371,0.05308251948442347,0.029812816037565436
